name	read_id	strand	align_score	neg_log_likelihood	subset_likelihood	repeat_likelihood	repeat_start	repeat_end	align_start	align_end	counts	freq	cluster_assignments	outlier	peak_calling_method
CGG_mouse3	ed866b93-ee9d-4c5d-b2ff-8c6702ef44d5	forward	120	-1305.872	-67.91099999999994	-25.910999999999945	2828	2890	2684	3041	21.0	124	3.0	False	kde_throw_outliers
CGG_mouse3	44f7c22e-3844-40cc-9803-645928602423	forward	120	-1333.724	-79.12699999999995	-25.68700000000001	2820	2882	2672	3032	21.0	124	3.0	False	kde_throw_outliers
CGG_mouse3	399ad950-bff8-4a54-8d8f-27be4d142ff2	reverse	120	-1321.754	-79.63400000000001	-25.38800000000004	3559	3621	3412	3770	21.0	124	3.0	False	kde_throw_outliers
CGG_mouse3	7f81e91e-fe03-4d53-8862-e2d2acd838c2	forward	120	-1297.466	-53.26699999999994	-25.68599999999992	2831	2893	2684	3043	21.0	124	3.0	False	kde_throw_outliers
CGG_mouse3	80dad321-788a-420d-b394-2ef255282285	forward	120	-1293.135	-49.601	-25.68700000000001	2819	2881	2671	3031	21.0	124	3.0	False	kde_throw_outliers
CGG_mouse3	549ee5fd-88be-4c27-b556-1a3c9eb57009	reverse	120	-1303.225	-59.26999999999998	-30.882000000000065	3601	3662	3451	3811	20.0	20		True	kde_throw_outliers
CGG_mouse3	4c0c5c6c-6380-4e9a-b6e2-ae7f8512dd10	reverse	120	-1349.887	-100.99799999999992	-25.38900000000001	3597	3659	3449	3802	21.0	124	3.0	False	kde_throw_outliers
CGG_mouse3	866f2051-babe-4e9e-a695-14961b99f083	reverse	120	-1354.84	-114.269	-76.14499999999998	3543	3616	3393	3764	23.0	2		True	kde_throw_outliers
CGG_mouse3	933b80cc-660c-44ca-8e62-8347bcb1e3b0	reverse	120	-1298.116	-53.38599999999997	-25.38900000000001	3571	3633	3422	3781	21.0	124	3.0	False	kde_throw_outliers
CGG_mouse3	95334726-c32d-4314-a7d8-7d198234623c	reverse	118	-1287.941	-54.13900000000001	-25.38900000000001	3608	3670	3463	3819	21.0	124	3.0	False	kde_throw_outliers
CGG_mouse3	c3487ee9-a632-48fc-9360-19086d4c11d8	forward	120	-1297.259	-55.13900000000001	-25.68699999999989	2839	2901	2690	3052	21.0	124	3.0	False	kde_throw_outliers
CGG_mouse3	e817b3e2-eff7-4762-829d-9c8e53220dd7	reverse	120	-1336.094	-97.60299999999997	-38.596	3584	3646	3438	3798	21.0	124	3.0	False	kde_throw_outliers
